iter	Logloss
0	0.67563846
1	0.6590157193
2	0.6438945974
3	0.6305065526
4	0.6174665175
5	0.605267018
6	0.5937699622
7	0.5831003576
8	0.573927303
9	0.5653718819
10	0.5570652859
11	0.5493098707
12	0.5423830434
13	0.5358527088
14	0.529810624
15	0.5243360571
16	0.518696606
17	0.5136225076
18	0.5086855065
19	0.5040407923
20	0.4998196414
21	0.4961686944
22	0.4924164123
23	0.4891768682
24	0.4862293236
25	0.4832092346
26	0.4803128627
27	0.4777905674
28	0.475188327
29	0.4727468821
30	0.470596199
31	0.468313256
32	0.4663771063
33	0.4646928662
34	0.4627609785
35	0.4609647918
36	0.4594674317
37	0.4581037118
38	0.4567612294
39	0.4556660994
40	0.4543859129
41	0.4534580929
42	0.4522091757
43	0.4510389159
44	0.4500588749
45	0.4491653924
46	0.4482736589
47	0.4473688319
48	0.4464768916
49	0.4455861504
50	0.4448409707
51	0.4440473519
52	0.4434169037
53	0.4428060617
54	0.442096473
55	0.4414284923
56	0.4409017305
57	0.4403359887
58	0.4397205332
59	0.4391852669
60	0.4386774125
61	0.4381484546
62	0.4376843891
63	0.4372367961
64	0.4368365845
65	0.4364403352
66	0.4360941522
67	0.4357180859
68	0.4352886796
69	0.4348695396
70	0.4344330096
71	0.4341100858
72	0.4337564415
73	0.433403802
74	0.4330719539
75	0.432727343
76	0.432404589
77	0.4321309821
78	0.4319010282
79	0.4316640227
80	0.4314441356
81	0.4311476835
82	0.430923491
83	0.4306685961
84	0.4304392177
85	0.4301881108
86	0.429965773
87	0.4297109414
88	0.4295148493
89	0.4293012154
90	0.4291281521
91	0.42895497
92	0.4287614552
93	0.4285453486
94	0.4282876376
95	0.4281373706
96	0.427967771
97	0.4278021133
98	0.427621542
99	0.4274039083
100	0.4272400506
101	0.4270729196
102	0.4268679434
103	0.4267035764
104	0.4265637266
105	0.4264019907
106	0.4262785461
107	0.4261281512
108	0.4259733436
109	0.4258214253
110	0.4256552913
111	0.4255103036
112	0.4254292982
113	0.4252837223
114	0.4251261927
115	0.4250170822
116	0.4248661611
117	0.4247161735
118	0.4245714617
119	0.4244553863
120	0.424334583
121	0.4242271101
122	0.4240799211
123	0.4239607009
124	0.4238550867
125	0.4237208318
126	0.4236243935
127	0.4234906825
128	0.4233743963
129	0.4232403734
130	0.4231170028
131	0.4230126988
132	0.4228999202
133	0.4227853399
134	0.4226930773
135	0.4226039672
136	0.4225090217
137	0.4224052121
138	0.422303816
139	0.4222114157
140	0.4220973277
141	0.4220155082
142	0.4219251633
143	0.4218243556
144	0.4217284012
145	0.4216321932
146	0.421544525
147	0.421478145
148	0.4213929168
149	0.4212990281
150	0.4212242867
151	0.421123434
152	0.4210427311
153	0.4209360481
154	0.420851234
155	0.420743636
156	0.4206538712
157	0.4205757276
158	0.4204822238
159	0.4203981027
160	0.4202895752
161	0.4202356601
162	0.4201554097
163	0.4200943513
164	0.4199959196
165	0.4199111399
166	0.4198425633
167	0.4197739128
168	0.4197081747
169	0.4196434795
170	0.4195650943
171	0.4194909286
172	0.419408184
173	0.4193424307
174	0.4192595848
175	0.4191867678
176	0.4191090642
177	0.4190647656
178	0.4189776318
179	0.4189134067
180	0.4188843895
181	0.4187985748
182	0.4187211696
183	0.4186459075
184	0.4185817286
185	0.4185081574
186	0.4184281668
187	0.4183726423
188	0.4183081606
189	0.4182477091
190	0.4182072457
191	0.4181557951
192	0.4181032561
193	0.4180266177
194	0.4179692977
195	0.4179177187
196	0.4178597022
197	0.4178130423
198	0.4177374752
199	0.4176673528
200	0.4175843872
201	0.4175039661
202	0.4174364593
203	0.4173807216
204	0.4173277976
205	0.4172793423
206	0.4172107043
207	0.4171347183
208	0.4170749076
209	0.417036412
210	0.4169810837
211	0.4169392588
212	0.4168790726
213	0.4168095682
214	0.4167562208
215	0.4166922192
216	0.4166404479
217	0.4165684809
218	0.4164967351
219	0.4164247096
220	0.4163769962
221	0.4163345373
222	0.4162670966
223	0.4161978495
224	0.4161606862
225	0.4160991123
226	0.4160448221
227	0.4159900882
228	0.4159169883
229	0.4158449983
230	0.4157921597
231	0.415748814
232	0.4156899041
233	0.4156302033
234	0.4155620765
235	0.415525271
236	0.4154592297
237	0.4154301921
238	0.4153646009
239	0.4152685697
240	0.4151990844
241	0.4151523953
242	0.415100509
243	0.4150132144
244	0.4149582409
245	0.4149091594
246	0.4148460061
247	0.4147746479
248	0.4147408698
249	0.4146794108
250	0.4146323121
251	0.4145593645
252	0.4145423979
253	0.4144941909
254	0.4144478033
255	0.4144064031
256	0.4143685851
257	0.4143371571
258	0.4142540799
259	0.4141848011
260	0.4141349264
261	0.4141002587
262	0.4140549802
263	0.4139889824
264	0.4139536694
265	0.4139018064
266	0.4138648942
267	0.4138052156
268	0.4137727936
269	0.413712429
270	0.4136497006
