iter	Passed	Remaining
0	70	112953
1	133	106679
2	200	106778
3	262	104800
4	340	108619
5	428	113769
6	507	115509
7	585	116426
8	663	117210
9	751	119506
10	834	120502
11	927	122699
12	1015	123970
13	1104	125115
14	1192	126047
15	1275	126227
16	1367	127381
17	1460	128320
18	1557	129614
19	1654	130671
20	1748	131483
21	1835	131645
22	1904	130601
23	1998	131261
24	2088	131569
25	2188	132481
26	2275	132578
27	2375	133388
28	2466	133620
29	2561	134049
30	2651	134177
31	2748	134692
32	2842	134964
33	2935	135222
34	3011	134678
35	3103	134828
36	3198	135106
37	3294	135424
38	3393	135822
39	3488	136060
40	3580	136150
41	3673	136273
42	3769	136476
43	3868	136821
44	3983	137643
45	4091	138220
46	4224	139575
47	4316	139550
48	4406	139473
49	4498	139447
50	4586	139316
51	4688	139578
52	4788	139762
53	4887	139920
54	4962	139406
55	5073	139878
56	5180	140247
57	5283	140476
58	5382	140578
59	5488	140875
60	5598	141242
61	5691	141183
62	5793	141332
63	5898	141552
64	6010	141929
65	6114	142106
66	6208	142053
67	6290	141717
68	6396	141925
69	6522	142566
70	6645	143116
71	6734	142914
72	6812	142512
73	6912	142552
74	7018	142702
75	7117	142716
76	7225	142912
77	7322	142879
78	7433	143126
79	7542	143304
80	7649	143447
81	7763	143713
82	7846	143402
83	7954	143555
84	8057	143606
85	8148	143452
86	8241	143328
87	8336	143231
88	8433	143175
89	8533	143166
90	8625	143023
91	8714	142841
92	8829	143078
93	8939	143223
94	9045	143293
95	9147	143305
96	9233	143065
97	9344	143216
98	9425	142899
99	9555	143333
100	9648	143199
101	9747	143154
102	9848	143135
103	9934	142903
104	10008	142501
105	10104	142422
106	10200	142328
107	10289	142152
108	10380	141999
109	10463	141737
110	10566	141739
111	10658	141608
112	10755	141531
113	10851	141453
114	10968	141634
115	11064	141553
116	11161	141469
117	11260	141423
118	11351	141271
119	11441	141115
120	11536	141014
121	11629	140886
122	11732	140885
123	11826	140775
124	11920	140664
125	12008	140483
126	12103	140381
127	12195	140253
128	12288	140126
129	12381	140006
130	12474	139883
131	12584	139955
132	12700	140089
133	12808	140124
134	12930	140320
135	13057	140557
136	13153	140464
137	13260	140484
138	13345	140275
139	13448	140246
140	13545	140166
141	13649	140143
142	13738	139974
143	13826	139805
144	13928	139763
145	14048	139908
146	14150	139870
147	14229	139606
148	14337	139624
149	14433	139528
150	14532	139451
151	14653	139592
152	14763	139624
153	14874	139665
154	14949	139371
155	15056	139371
156	15157	139310
157	15272	139382
158	15363	139238
159	15483	139351
160	15593	139369
161	15700	139370
162	15793	139230
163	15890	139141
164	15995	139110
165	16123	139282
166	16223	139209
167	16322	139130
168	16437	139187
169	16584	139506
170	16680	139394
171	16787	139371
172	16881	139245
173	16980	139165
174	17071	139011
175	17172	138944
176	17260	138765
177	17350	138606
178	17447	138504
179	17538	138362
180	17639	138286
181	17733	138164
182	17829	138056
183	17896	137724
184	17990	137601
185	18090	137528
186	18160	137222
187	18253	137097
188	18343	136945
189	18439	136842
190	18535	136735
191	18622	136568
192	18720	136473
193	18802	136266
194	18904	136209
195	18984	135992
196	19082	135901
197	19177	135792
198	19279	135730
199	19373	135616
200	19474	135544
201	19580	135509
202	19678	135420
203	19754	135181
