iter	PRAUC	Logloss
0	0.6512298769	0.6591680482
1	0.6602203114	0.6275656967
2	0.6641164507	0.6004771712
3	0.6653964326	0.5762129026
4	0.665476632	0.5543176219
5	0.6683400946	0.5323237008
6	0.6675363113	0.5144823235
7	0.6677421877	0.4978067724
8	0.6693347659	0.4822968476
9	0.6717927115	0.4684608
10	0.6709164781	0.4568954695
11	0.67149925	0.4442966095
12	0.6724063526	0.4326700493
13	0.6722147208	0.423305641
14	0.6732084073	0.4141133683
15	0.6745503924	0.4059886968
16	0.6756423759	0.3979001339
17	0.675840042	0.3915373207
18	0.6763422964	0.3862400256
19	0.6768997308	0.3814680665
20	0.677384794	0.3769035202
21	0.6774158326	0.3728985006
22	0.677291879	0.3699013609
23	0.677540293	0.3660841691
24	0.6775333182	0.3630300147
25	0.6785755455	0.3595123413
26	0.6791017421	0.3562473791
27	0.6792888325	0.3533308325
28	0.6796232829	0.3511418427
29	0.6798518759	0.3485999862
30	0.680088898	0.3465298797
31	0.6801872643	0.3444091287
32	0.680471343	0.3424734423
33	0.680707743	0.3409437485
34	0.6808360399	0.3397561011
35	0.6812447034	0.3381171192
36	0.6816377833	0.3365572875
37	0.6817104742	0.3349300131
38	0.681899429	0.3340075299
39	0.6820099992	0.3328615182
40	0.6821272952	0.331952357
41	0.6821892961	0.3308422874
42	0.6822844478	0.329804185
43	0.682269646	0.3293335218
44	0.6822644946	0.3284901462
45	0.6825007644	0.3276458781
46	0.6824871748	0.3269487324
47	0.6827315695	0.326284305
48	0.6827135448	0.3258547342
49	0.6829599851	0.3252278306
50	0.6830580819	0.3247755212
51	0.6833151884	0.324226324
52	0.6834387226	0.3237421544
53	0.6836073631	0.3233497977
54	0.6835434412	0.3231471599
55	0.6836817592	0.3226284266
56	0.6839344207	0.3220968101
57	0.6839373582	0.3218873731
58	0.6840308577	0.3217085937
59	0.684085418	0.321419713
60	0.6841539554	0.3210905202
61	0.6841252086	0.3208249845
62	0.6841917669	0.3205387575
63	0.6842125713	0.320284977
64	0.6841700893	0.3200929351
65	0.6841922133	0.3198594298
66	0.6842951453	0.3196667845
67	0.684285114	0.319518878
68	0.6843162355	0.3192592138
69	0.6843945557	0.3190108773
70	0.6844397485	0.3188647495
71	0.6844806907	0.3187263226
72	0.6844807706	0.3186137784
73	0.6845832405	0.3184535077
74	0.6846336535	0.3182507603
75	0.6846909076	0.3180447342
76	0.6847706951	0.3178982706
77	0.6847826207	0.3177228823
78	0.6848209801	0.317578551
79	0.6849654732	0.3174345279
80	0.6849965261	0.3172950592
81	0.6849889961	0.317235097
82	0.6849884554	0.3171699044
83	0.6850452019	0.3170011408
84	0.6850876932	0.3168791941
85	0.6852439628	0.3167074037
86	0.6852953406	0.316557505
87	0.6853369583	0.3164727501
88	0.6853501931	0.3163528232
89	0.6853912271	0.3162477122
90	0.6854714823	0.3161402928
91	0.6855191404	0.3160163012
92	0.6856125677	0.3158906079
93	0.6855989649	0.3158575842
94	0.6856220742	0.3157815506
95	0.6857421549	0.3157079316
96	0.6857077299	0.3156916787
97	0.6857577963	0.3155373432
98	0.6857550288	0.3155095197
99	0.6858510214	0.3154271018
100	0.6859210064	0.315368825
101	0.6859249014	0.3153514399
102	0.6859615583	0.3153184067
103	0.6860484406	0.3152247047
104	0.6860372081	0.3152100907
105	0.6860955834	0.3151409102
106	0.6861623867	0.3150497603
107	0.6862010976	0.3149723736
108	0.6862297277	0.3149368972
109	0.686213386	0.3149261285
110	0.686223292	0.3148693114
111	0.686265985	0.314804074
112	0.68629353	0.3147502627
113	0.6863200769	0.3147018907
114	0.686381441	0.3146539657
115	0.6864057056	0.3146049977
116	0.6864317357	0.3145556941
117	0.6864814772	0.3144875837
118	0.6865006031	0.3144408066
119	0.6865211362	0.3144166932
120	0.6865204259	0.314384823
121	0.6865465724	0.3143322279
122	0.6865834149	0.3142900702
123	0.6866243737	0.3142288983
124	0.6866554694	0.3141740729
125	0.6866908582	0.3141219478
126	0.6867358885	0.3140910529
127	0.6867357243	0.3140899004
128	0.6867322196	0.3140815096
129	0.6867841648	0.3140554454
130	0.6868156213	0.3140242412
131	0.6868423099	0.3139961551
132	0.6869157582	0.3139560878
133	0.6869572698	0.3139086468
134	0.6869719161	0.313882652
135	0.6869922348	0.3138631372
136	0.6870128677	0.3138340325
137	0.6870543108	0.3137890419
138	0.6870824813	0.3137722935
139	0.6870758868	0.3137481164
140	0.6871097709	0.3137038189
141	0.6871324296	0.3136784902
142	0.6871535872	0.3136550532
143	0.6871475856	0.3136418827
144	0.6871464532	0.3136353029
145	0.6871770486	0.3135936239
146	0.6872135513	0.3135769539
147	0.6872049279	0.3135738087
148	0.6872301514	0.3135368883
149	0.6872577696	0.3134988701
150	0.6873021606	0.3134634323
151	0.6873213609	0.3134373061
152	0.687329485	0.3134246978
153	0.6873903812	0.3133973466
154	0.6873942976	0.3133959266
155	0.687445295	0.3133599096
156	0.6874830366	0.3133410777
157	0.6874979816	0.3133144582
158	0.6874939113	0.3133115685
159	0.6875813856	0.3132665287
160	0.6876014688	0.3132434817
161	0.6876523088	0.3131961308
162	0.6876822709	0.3131713141
163	0.687696679	0.3131516685
164	0.6877206596	0.313117018
165	0.6877511507	0.3130874815
166	0.6877635708	0.3130633547
167	0.6877811246	0.3130382578
168	0.6878574323	0.3130055333
169	0.687881476	0.3129859718
170	0.6879176996	0.3129661219
171	0.6879417513	0.3129358705
172	0.6879404566	0.3129306701
173	0.6879734783	0.3129067414
174	0.6880223596	0.3128665231
175	0.6880485271	0.3128516411
176	0.6880736166	0.3128202234
177	0.688095071	0.3128081876
178	0.6881436916	0.3127897703
179	0.688197954	0.3127610647
180	0.6882022116	0.3127522655
181	0.6882192683	0.3127381636
182	0.688232632	0.3127249659
183	0.6882363245	0.3127207508
184	0.688240914	0.3127133346
185	0.6882825359	0.3126794203
186	0.6882796048	0.3126774704
187	0.6883405341	0.3126355592
188	0.6883706945	0.312621754
189	0.6883843527	0.3126036115
190	0.6884165262	0.3125874032
191	0.6884418416	0.3125733917
192	0.6884447845	0.3125671111
193	0.6884521044	0.3125573878
194	0.6885049128	0.3125413049
195	0.6885157538	0.3125342528
196	0.6885514504	0.3125189842
197	0.6885665446	0.3124935464
198	0.6885841569	0.3124853583
199	0.688631465	0.3124592309
200	0.6886659649	0.3124489944
201	0.6886815021	0.3124418387
202	0.6887398618	0.3124219595
203	0.6887509322	0.3124194339
204	0.688779926	0.3124084995
205	0.6887893779	0.312399569
206	0.6887883713	0.3123916633
207	0.6888192361	0.312376295
208	0.6888459754	0.3123629537
209	0.6888512791	0.312358808
210	0.6888791106	0.3123460392
211	0.6888791292	0.3123456086
212	0.6889095218	0.3123340212
213	0.6889542015	0.3123106394
214	0.6889790334	0.3122895755
215	0.6889807543	0.3122874902
216	0.6890115691	0.3122777189
217	0.6890645582	0.3122462029
218	0.6890653605	0.3122391154
219	0.6890992715	0.3122221651
220	0.6891296016	0.3122085851
221	0.6891268818	0.3122077264
222	0.6891769818	0.3121898817
223	0.6892039391	0.312175768
224	0.6892295602	0.3121523213
225	0.6892621679	0.3121403477
226	0.6892757308	0.3121338218
227	0.6892821314	0.3121277587
228	0.6892925412	0.3121229765
229	0.6893071504	0.3121044385
230	0.6893530051	0.3120824382
231	0.6893688535	0.3120672383
232	0.6893732479	0.3120651085
233	0.6893825984	0.3120539217
234	0.6893840937	0.3120526735
235	0.6894095835	0.3120429081
236	0.6894448099	0.3120241969
237	0.6894606863	0.3120057577
238	0.689468513	0.3119966726
239	0.689472883	0.31199422
240	0.6894938225	0.3119819341
241	0.6895120802	0.3119781445
242	0.6895092561	0.3119777548
243	0.6895531034	0.3119592783
244	0.6895600207	0.3119548401
245	0.6895850953	0.3119365728
246	0.6896249221	0.311911327
247	0.6896371448	0.3119036891
248	0.6896582424	0.3118919985
249	0.6896832912	0.3118854394
250	0.6897106777	0.3118792635
251	0.6897354857	0.3118628778
252	0.6897631031	0.3118449409
253	0.6897631139	0.3118448441
254	0.6897900821	0.3118345813
255	0.6898302097	0.3118189652
256	0.6898329462	0.311818313
257	0.6898370219	0.3118150225
258	0.6898614472	0.311801323
259	0.6898887497	0.3117837521
260	0.6898942332	0.3117778185
261	0.6899086613	0.311771223
262	0.6899516337	0.3117599361
263	0.6899605178	0.3117559579
264	0.6899844407	0.3117411757
265	0.6899910686	0.311736867
266	0.6899897689	0.3117359221
267	0.6899893719	0.3117340917
268	0.6900032138	0.3117293968
269	0.6900183837	0.3117243311
270	0.6900432235	0.3117142064
271	0.6900618039	0.3117072252
272	0.6901091616	0.3116906925
273	0.6901205807	0.3116866793
274	0.6901394601	0.3116764546
275	0.6901744828	0.311664774
276	0.6901710704	0.311663902
277	0.6902004304	0.3116476802
278	0.6902157589	0.3116398717
279	0.6902307528	0.3116305051
280	0.6902310408	0.3116304298
281	0.6902698808	0.3116054006
282	0.6902964344	0.3115894689
283	0.6903025578	0.3115870293
284	0.6903219368	0.3115808678
285	0.6903348078	0.3115748317
286	0.6903662	0.3115601063
287	0.6904102324	0.3115465797
288	0.6904135785	0.3115460622
289	0.6904434181	0.3115359815
290	0.6904523883	0.3115330165
291	0.6905004138	0.3115139914
292	0.6905130557	0.3115085007
293	0.6905351723	0.3115001091
294	0.6905713835	0.3114839338
295	0.6905863972	0.3114748017
296	0.6906243877	0.3114596674
297	0.6906910902	0.3114478003
298	0.6907325853	0.31143461
299	0.6907617649	0.3114313081
300	0.6907633382	0.3114283692
301	0.6907947956	0.3114160072
302	0.6907981524	0.3114134056
303	0.6908080413	0.31140734
304	0.6908066205	0.3114072061
305	0.6908203456	0.3113965507
306	0.690848235	0.3113861456
307	0.6908834915	0.3113728836
308	0.6908883425	0.3113704062
