iter	Passed	Remaining
0	92	148042
1	186	148792
2	292	155964
3	397	158440
4	509	162408
5	629	167123
6	744	169410
7	863	171737
8	991	175332
9	1103	175434
10	1219	176159
11	1353	179172
12	1498	182895
13	1621	183639
14	1757	185736
15	1877	185850
16	2006	186844
17	2138	187925
18	2264	188437
19	2394	189151
20	2529	190195
21	2662	190998
22	2783	190829
23	2912	191245
24	3041	191603
25	3179	192512
26	3308	192757
27	3448	193607
28	3582	194070
29	3710	194200
30	3842	194466
31	3969	194482
32	4106	194983
33	4237	195185
34	4360	194960
35	4486	194933
36	4620	195174
37	4745	195080
38	4879	195318
39	5007	195300
40	5138	195371
41	5264	195273
42	5386	195025
43	5515	195042
44	5646	195128
45	5779	195239
46	5911	195346
47	6047	195540
48	6168	195252
49	6303	195420
50	6437	195509
51	6564	195408
52	6691	195324
53	6813	195069
54	6926	194579
55	7062	194726
56	7196	194802
57	7316	194510
58	7438	194294
59	7563	194137
60	7706	194440
61	7851	194764
62	8002	195247
63	8139	195349
64	8279	195529
65	8421	195737
66	8546	195544
67	8670	195332
68	8807	195422
69	8941	195431
70	9065	195217
71	9193	195111
72	9310	194748
73	9444	194768
74	9576	194715
75	9706	194649
76	9842	194671
77	9967	194500
78	10105	194553
79	10228	194350
80	10365	194389
81	10487	194137
82	10611	193942
83	10739	193815
84	10886	194036
85	11038	194325
86	11185	194532
87	11326	194607
88	11462	194609
89	11595	194554
90	11722	194387
91	11859	194400
92	11989	194289
93	12115	194098
94	12242	193953
95	12384	194023
96	12500	193697
97	12636	193676
98	12758	193435
99	12885	193289
100	13020	193246
101	13158	193255
102	13292	193188
103	13419	193034
104	13535	192716
105	13663	192572
106	13790	192425
107	13919	192293
108	14048	192169
109	14189	192208
110	14343	192403
111	14489	192503
112	14620	192393
113	14749	192266
114	14892	192303
115	15032	192315
116	15177	192379
117	15326	192487
118	15465	192471
119	15603	192439
120	15729	192269
121	15866	192217
122	16008	192234
123	16147	192210
124	16303	192379
125	16429	192195
126	16573	192223
127	16681	191841
128	16789	191450
129	16915	191278
130	17048	191175
131	17188	191158
132	17324	191092
133	17463	191056
134	17594	190938
135	17729	190853
136	17852	190643
137	17990	190594
138	18114	190394
139	18247	190290
140	18381	190199
141	18511	190064
142	18643	189954
143	18760	189691
144	18874	189397
145	19010	189323
146	19149	189276
147	19272	189082
148	19401	188934
149	19535	188842
150	19672	188774
151	19797	188598
152	19920	188397
153	20057	188334
154	20164	187987
155	20292	187834
156	20435	187822
157	20559	187640
158	20678	187406
159	20815	187343
160	20953	187284
161	21088	187190
162	21220	187078
163	21353	186970
164	21485	186862
165	21616	186736
166	21743	186578
167	21872	186434
168	22002	186305
169	22139	186230
170	22273	186131
171	22408	186044
172	22532	185862
173	22664	185748
174	22798	185646
175	22933	185551
176	23063	185418
177	23189	185258
178	23328	185197
179	23459	185070
180	23599	185018
181	23737	184944
182	23864	184787
183	23965	184433
184	24093	184285
185	24223	184151
186	24329	183841
187	24457	183689
188	24591	183592
189	24722	183463
190	24858	183383
191	24985	183228
192	25120	183132
193	25241	182935
194	25376	182841
195	25495	182630
196	25630	182538
197	25769	182468
198	25903	182366
199	26046	182323
200	26180	182221
201	26316	182127
202	26457	182072
203	26583	181913
204	26713	181782
205	26853	181718
206	26971	181501
207	27096	181338
208	27228	181216
209	27337	180951
210	27486	180940
211	27627	180884
212	27762	180782
213	27896	180676
214	28035	180598
215	28141	180314
216	28273	180193
217	28407	180089
218	28538	179960
219	28669	179833
220	28804	179735
221	28916	179493
222	29056	179420
223	29183	179272
224	29317	179161
225	29446	179021
226	29580	178913
227	29710	178786
228	29844	178677
229	29981	178587
230	30111	178451
231	30246	178349
232	30370	178183
233	30498	178039
234	30617	177840
235	30747	177709
236	30877	177578
237	31006	177440
238	31127	177256
239	31237	177014
240	31367	176879
241	31487	176691
242	31610	176524
243	31740	176395
244	31871	176270
245	31997	176118
246	32130	175999
247	32258	175861
248	32393	175756
249	32518	175597
250	32650	175478
251	32780	175350
252	32910	175217
253	33011	174936
254	33145	174825
255	33287	174761
256	33409	174587
257	33535	174438
258	33672	174342
259	33809	174250
260	33938	174113
261	34070	173995
262	34208	173905
263	34339	173778
264	34474	173672
265	34601	173529
266	34714	173311
267	34848	173203
268	34972	173041
269	35105	172926
270	35251	172875
271	35377	172726
272	35507	172596
273	35636	172461
274	35769	172341
275	35897	172204
276	36004	171965
277	36140	171860
278	36271	171739
279	36401	171605
280	36505	171356
281	36630	171203
282	36761	171075
283	36881	170901
284	37015	170790
285	37145	170662
286	37275	170532
287	37402	170390
288	37508	170150
289	37635	170009
290	37761	169863
291	37893	169741
292	38025	169622
293	38149	169467
294	38279	169339
295	38409	169209
296	38545	169108
297	38680	168998
298	38810	168869
299	38937	168729
300	39073	168627
301	39213	168541
302	39346	168423
303	39472	168276
304	39588	168088
305	39726	167995
306	39852	167848
307	39980	167711
308	40092	167505
309	40222	167377
310	40350	167241
311	40485	167134
312	40614	166999
313	40741	166859
314	40870	166724
315	40979	166513
316	41095	166326
317	41204	166111
318	41331	165972
319	41453	165815
320	41585	165694
321	41715	165567
322	41847	165447
323	41972	165299
324	42095	165142
325	42209	164954
326	42341	164833
327	42470	164704
328	42612	164620
329	42745	164505
330	42861	164322
331	42987	164182
332	43121	164067
333	43241	163901
334	43359	163731
335	43492	163616
336	43598	163398
337	43726	163261
338	43846	163099
339	43972	162958
340	44101	162827
341	44212	162628
342	44338	162487
343	44451	162300
344	44588	162197
345	44718	162072
346	44827	161869
347	44943	161693
348	45054	161499
349	45196	161416
350	45330	161304
351	45443	161117
352	45557	160934
353	45691	160824
354	45821	160697
355	45938	160526
356	46061	160375
357	46166	160163
358	46293	160027
359	46410	159858
360	46537	159724
361	46671	159611
362	46795	159466
363	46902	159262
364	47031	159134
365	47139	158935
366	47265	158797
367	47394	158669
368	47523	158541
369	47643	158381
370	47778	158273
371	47914	158169
372	48023	157975
373	48134	157787
374	48252	157626
375	48388	157520
376	48521	157404
377	48643	157254
378	48772	157126
379	48904	157009
380	49025	156854
381	49152	156722
382	49284	156602
383	49414	156480
384	49544	156355
385	49681	156251
386	49809	156122
387	49920	155937
388	50052	155819
389	50173	155667
390	50301	155537
391	50436	155426
392	50568	155307
393	50687	155150
394	50823	155042
395	50960	154939
396	51078	154778
397	51214	154672
398	51338	154530
399	51477	154432
400	51606	154303
401	51716	154121
402	51849	154005
403	51980	153883
404	52086	153687
405	52213	153553
406	52319	153357
407	52454	153250
408	52582	153119
409	52702	152965
410	52825	152821
411	52958	152706
412	53090	152588
413	53213	152442
414	53342	152315
415	53475	152200
416	53588	152026
417	53720	151907
418	53847	151774
419	53988	151681
420	54123	151571
421	54256	151454
422	54360	151259
423	54494	151144
424	54633	151045
425	54745	150872
426	54870	150734
427	54980	150555
428	55115	150442
429	55245	150318
430	55383	150215
431	55495	150042
432	55602	149856
